Song - Bad Blood, Popularity - 68
Song - All Too Well, Popularity - 68
Song - Last Kiss, Popularity - 68
Song - Labyrinth, Popularity - 69
Song - Sweet Nothing, Popularity - 69
Song - Mastermind, Popularity - 69
Song - Paris, Popularity - 69
Song - Girl At Home (Taylor's Version), Popularity - 69
Song - Forever & Always (Piano Version) (Taylor’s Version), Popularity - 69
Song - Bye Bye Baby (Taylor’s Version) (From The Vault), Popularity - 69
Song - happiness, Popularity - 69
Song - dorothea, Popularity - 69
Song - long story short, Popularity - 69
Song - coney island (feat. The National), Popularity - 69
Song - epiphany, Popularity - 69
Song - peace, Popularity - 69
Song - hoax, Popularity - 69
Song - Style, Popularity - 69
Song - Last Kiss, Popularity - 69
Song - Sparks Fly, Popularity - 69
Song - Dear John, Popularity - 69
Song - Question...?, Popularity - 70
Song - Vigilante Shit, Popularity - 70
Song - The Great War, Popularity - 70
Song - Would've, Could've, Should've, Popularity - 70
Song - Labyrinth, Popularity - 70
Song - Forever Winter (Taylor's Version) (From The Vault), Popularity - 70
Song - The Best Day (Taylor’s Version), Popularity - 70
Song - Untouchable (Taylor’s Version), Popularity - 70
Song - Today Was A Fairytale (Taylor’s Version), Popularity - 70
Song - We Were Happy (Taylor’s Version) (From The Vault), Popularity - 70
Song - coney island (feat. The National), Popularity - 70
Song - ivy, Popularity - 70
Song - cowboy like me, Popularity - 70
Song - marjorie, Popularity - 70
Song - evermore (feat. Bon Iver), Popularity - 70
Song - dorothea, Popularity - 70
Song - long story short, Popularity - 70
Song - mad woman, Popularity - 70
Song - I Know Places, Popularity - 70
Song - Mean, Popularity - 70
Song - Haunted, Popularity - 70
Song - Long Live, Popularity - 70
Song - Mean, Popularity - 70
Song - Bejeweled, Popularity - 71
Song - Question...?, Popularity - 71
Song - Sweet Nothing, Popularity - 71
Song - Starlight (Taylor's Version), Popularity - 71
Song - The Moment I Knew (Taylor's Version), Popularity - 71
Song - Tell Me Why (Taylor’s Version), Popularity - 71
Song - Jump Then Fall (Taylor’s Version), Popularity - 71
Song - Don’t You (Taylor’s Version) (From The Vault), Popularity - 71
Song - gold rush, Popularity - 71
Song - no body, no crime (feat. HAIM), Popularity - 71
Song - happiness, Popularity - 71
Song - evermore (feat. Bon Iver), Popularity - 71
Song - betty, Popularity - 71
Song - epiphany, Popularity - 71
Song - Blank Space, Popularity - 71
Song - Dear John, Popularity - 71
Song - The Story Of Us, Popularity - 71
Song - Speak Now, Popularity - 71
Song - Better Than Revenge, Popularity - 71
Song - Maroon, Popularity - 72
Song - Anti-Hero, Popularity - 72
Song - Snow On The Beach (feat. Lana Del Rey), Popularity - 72
Song - You're On Your Own, Kid, Popularity - 72
Song - Midnight Rain, Popularity - 72
Song - Karma, Popularity - 72
Song - Snow On The Beach (feat. Lana Del Rey), Popularity - 72
Song - Stay Stay Stay (Taylor's Version), Popularity - 72
Song - Holy Ground (Taylor's Version), Popularity - 72
Song - The Lucky One (Taylor's Version), Popularity - 72
Song - Breathe (feat. Colbie Caillat) (Taylor’s Version), Popularity - 72
Song - That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault), Popularity - 72
Song - ‘tis the damn season, Popularity - 72
Song - tolerate it, Popularity - 72
Song - cowboy like me, Popularity - 72
Song - seven, Popularity - 72
Song - invisible string, Popularity - 72
Song - hoax, Popularity - 72
Song - All You Had To Do Was Stay, Popularity - 72
Song - The Story Of Us, Popularity - 72
Song - Lavender Haze, Popularity - 73
Song - Maroon, Popularity - 73
Song - Glitch, Popularity - 73
Song - Dear Reader, Popularity - 73
Song - I Almost Do (Taylor's Version), Popularity - 73
Song - Sad Beautiful Tragic (Taylor's Version), Popularity - 73
Song - Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault), Popularity - 73
Song - You’re Not Sorry (Taylor’s Version), Popularity - 73
Song - The Other Side Of The Door (Taylor’s Version), Popularity - 73
Song - willow, Popularity - 73
Song - it’s time to go - bonus track, Popularity - 73
Song - no body, no crime (feat. HAIM), Popularity - 73
Song - ivy, Popularity - 73
Song - the last great american dynasty, Popularity - 73
Song - exile (feat. Bon Iver), Popularity - 73
Song - mirrorball, Popularity - 73
Song - this is me trying, Popularity - 73
Song - illicit affairs, Popularity - 73
Song - the lakes - bonus track, Popularity - 73
Song - mad woman, Popularity - 73
Song - peace, Popularity - 73
Song - I Wish You Would, Popularity - 73
Song - Clean, Popularity - 73
Song - Wonderland, Popularity - 73
Song - You Are In Love, Popularity - 73
Song - Welcome To New York, Popularity - 73
Song - Sparks Fly, Popularity - 73
Song - You're On Your Own, Kid, Popularity - 74
Song - Vigilante Shit, Popularity - 74
Song - State Of Grace (Taylor's Version), Popularity - 74
Song - Treacherous (Taylor's Version), Popularity - 74
Song - Begin Again (Taylor's Version), Popularity - 74
Song - Better Man (Taylor's Version) (From The Vault), Popularity - 74
Song - Hey Stephen (Taylor’s Version), Popularity - 74
Song - champagne problems, Popularity - 74
Song - my tears ricochet, Popularity - 74
Song - How You Get The Girl, Popularity - 74
Song - Speak Now, Popularity - 74
Song - Better Than Revenge, Popularity - 74
Song - Mine, Popularity - 74
Song - Lavender Haze, Popularity - 75
Song - Midnight Rain, Popularity - 75
Song - Bejeweled, Popularity - 75
Song - The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version), Popularity - 75
Song - Come Back...Be Here (Taylor's Version), Popularity - 75
Song - Babe (Taylor's Version) (From The Vault), Popularity - 75
Song - White Horse (Taylor’s Version), Popularity - 75
Song - the 1, Popularity - 75
Song - cardigan, Popularity - 75
Song - august, Popularity - 75
Song - Soon You’ll Get Better (feat. The Chicks), Popularity - 75
Song - It’s Nice To Have A Friend, Popularity - 75
Song - Anti-Hero, Popularity - 76
Song - Mastermind, Popularity - 76
Song - Bigger Than The Whole Sky, Popularity - 76
Song - High Infidelity, Popularity - 76
Song - Message In A Bottle (Taylor's Version) (From The Vault), Popularity - 76
Song - Fifteen (Taylor’s Version), Popularity - 76
Song - Forever & Always (Taylor’s Version), Popularity - 76
Song - gold rush, Popularity - 76
